embryo_id,time_idx,cell_name,x_um,y_um,z_um,nuclear_diameter_um,valid,n_cells_frame,source_file,canonical_time
OOS_SPIMA_P4,22,E,32.706599999999995,11.0466,22.5,4.2237,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABpla,20.1438,18.0861,27.0,2.9240999999999997,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABpra,27.6165,17.9778,14.25,3.1407,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,22,ABprp,31.406999999999996,14.403899999999998,16.5,3.1407,1,12,t022-nuclei,36.0
OOS_SPIMA_P4,23,ABplp,25.6671,15.595199999999998,27.75,3.3573,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABala,10.6134,13.3209,21.0,3.1407,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,C,32.489999999999995,20.7936,24.75,4.007099999999999,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,P3,39.7461,13.8624,21.75,3.3573,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABara,17.5446,17.1114,17.25,3.3573,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABarp,21.5517,21.4434,21.75,3.1407,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABalp,16.136699999999998,10.1802,21.75,2.9240999999999997,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,MS,23.717699999999997,9.6387,18.0,4.4403,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,E,33.4647,11.2632,22.5,3.7905,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABpla,19.3857,18.735899999999997,27.0,3.1407,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABpra,26.8584,18.3027,14.25,3.3573,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,23,ABprp,30.757199999999997,14.2956,15.75,3.1407,1,12,t023-nuclei,36.0
OOS_SPIMA_P4,24,ABplp,26.6418,16.028399999999998,27.75,3.1407,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABala,10.7217,13.6458,21.75,3.3573,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,C,32.273399999999995,20.9019,24.0,4.2237,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,P3,39.5295,14.5122,21.0,3.3573,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABara,17.1114,17.0031,16.5,3.7905,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABarp,21.5517,21.7683,21.0,3.3573,1,12,t024-nuclei,37.5
OOS_SPIMA_P4,24,ABalp,17.2197,10.9383,23.25,3.1407,1,12,t024-nuclei,37.5
